12.10.2021;Liste over politisk eksponerede personer jf. hvidvasklovens § 18, stk. 7, jf. § 2, stk. 1, nr. 8, litra a-h;;;;;;;;;;;
;Navn;;Stillingsbetegnelse ;Fødselsdato;Tilføjet på PEP-listen (dato);Ny på PEP-listen (x);;;;;;
Statschef, regeringschef, minister og viceminister eller ass. minister, jf. § 2, stk. 1, nr. 8 litra a;;;;;;;;;;;;
;Jørgensen;Dan;Socialdemokratiet;12.06.1975;29.12.2017;;;;;;;
;Kjær;Kasper Sand;Socialdemokratiet;04.05.1989;25.06.2019;;;;;;;
;Kollerup;Simon;Socialdemokratiet;20.05.1986;29.12.2017;;;;;;;
;Krag;Astrid;Socialdemokratiet;17.11.1982;29.12.2017;;;;;;;
;Kristensen;Henrik Dam;Socialdemokratiet;31.01.1957;29.12.2017;;;;;;;
;Kronborg;Anders ;Socialdemokratiet;18.03.1982;25.06.2019;;;;;;;
;Langhoff;Rasmus Horn;Socialdemokratiet;08.10.1980;29.12.2017;;;;;;;
;Larsen;Malte;Socialdemokratiet;19.12.1968;25.06.2019;;;;;;;
;Larsson;Tanja ;Socialdemokratiet;07.07.1977;19.10.2020;;;;;;;
;Laustsen;Bjarne;Socialdemokratiet;09.12.1953;29.12.2017;;;;;;;
;Lind;Annette;Socialdemokratiet;02.06.1969;29.12.2017;;;;;;;
;Madsen;Christian Rabjerg;Socialdemokratiet;24.03.1986;29.12.2017;;;;;;;
;Mortensen;Flemming Møller;Socialdemokratiet;03.07.1963;29.12.2017;;;;;;;
;Møller;Henrik;Socialdemokratiet;16.11.1965;25.06.2019;;;;;;;
;Nielsen;Jens Joel;Socialdemokratiet;12.05.1978;28.02.2020;;;;;;;
;Paulin;Anne;Socialdemokratiet;05.01.1988;01.09.2021;;;;;;;
;Petersen;Jesper;Socialdemokratiet;25.08.1981;29.12.2017;;;;;;;
;Prehn;Rasmus;Socialdemokratiet;18.06.1973;29.12.2017;;;;;;;
;Rasmussen;Lars Aslan;Socialdemokratiet;31.10.1978;29.12.2017;;;;;;;
;Ravn;Troels;Socialdemokratiet;02.08.1961;29.12.2017;;;;;;;
;Rosenkrantz-Theil;Pernille;Socialdemokratiet;17.01.1977;29.12.2017;;;;;;;
;Roug;Kasper;Socialdemokratiet;06.06.1979;25.06.2019;;;;;;;
;Sina;Anne;Socialdemokratiet (stedfortræder);03.04.1987;20.09.2021;;;;;;;
;Skovsby;Julie;Socialdemokratiet;15.11.1978;29.12.2017;;;;;;;
;Stoklund;Rasmus ;Socialdemokratiet;17.03.1984;25.06.2019;;;;;;;
;Tesfaye;Mattias;Socialdemokratiet;31.03.1981;29.12.2017;;;;;;;
