12.10.2021;Liste over politisk eksponerede personer jf. hvidvasklovens § 18, stk. 7, jf. § 2, stk. 1, nr. 8, litra a-h;;;;;;;;;;;
;Navn;;Stillingsbetegnelse ;Fødselsdato;Tilføjet på PEP-listen (dato);Ny på PEP-listen (x);;;;;;
Statschef, regeringschef, minister og viceminister eller ass. minister, jf. § 2, stk. 1, nr. 8 litra a;;;;;;;;;;;;
;Jensen;Michael Aastrup;Venstre;16.03.1976;29.12.2017;;;;;;;
;Krarup;Leif;Venstre;30.08.1960;08.08.2019;;;;;;;
;Larsen;Henning;Venstre;29.06.1966;12.02.2020;;;;;;;
;Lauritzen;Karsten;Venstre;14.10.1983;28.06.2020;;;;;;;
;Lose;Stephanie;Venstre;14.12.1982;29.12.2017;;;;;;;
;Løkkegaard;Morten;Venstre;20.12.1964;29.12.2017;;;;;;;
;Madsen;Bo;Venstre;17.07.1950;29.12.2017;;;;;;;
;Madsen;Kristian Lausten;Venstre;18.04.1994;03.10.2019;;;;;;;
;Mallet;Nicolai;Venstre;17.05.1960;29.12.2017;;;;;;;
;Roth;Pernille;Venstre;29.03.1979;08.08.2019;;;;;;;
;Støjberg;Inger;Venstre;16.03.1973;03.10.2019;;;;;;;
;Truelsen;Jakob Bring;Venstre;12.07.1968;08.08.2019;;;;;;;
;Vejlgaard;Jens Nicolai;Venstre;24.05.1972;29.12.2017;;;;;;;
;Ahmad;Allan;Enhedslisten;03.10.1984;29.12.2017;;;;;;;
;Albrechtsen;Maja Wolff;Enhedslisten;30.06.1985;28.08.2018;;;;;;;
;Ammary;Aida;Enhedslisten;27.01.1992;01.12.2020;;;;;;;
;Højsgaard;Claus;Enhedslisten;28.04.1956;16.08.2021;;;;;;;
;Dall;Benny;Enhedslisten;19.02.1956;07.08.2020;;;;;;;
;Demir;Sinem;Enhedslisten;11.04.1992;07.08.2020;;;;;;;
;Dragsted;Pelle;Enhedslisten;13.04.1975;08.06.2018;;;;;;;
;Jerup;Bruno;Enhedslisten;29.09.1957;16.08.2021;;;;;;;
;Hansen ;Astrid Vang ;Enhedslisten;05.08.1987;28.08.2018;;;;;;;
;Hellemann;Frederikke;Enhedslisten;03.08.1991;01.12.2020;;;;;;;
;Henriksen;Trine;Enhedslisten;31.12.1962;07.08.2020;;;;;;;
;Hertoft;Mikael Hemniti;Enhedslisten;26.12.1956;08.06.2018;;;;;;;
;Skipper;Pernille;Enhedslisten;10.07.1984;16.08.2021;;;;;;;
;Toft-Lind;Janne;Enhedslisten;01.09.1971;16.08.2021;;;;;;;
;Jacobsen;Louis;Enhedslisten;13.04.1985;07.08.2020;;;;;;;
;Jensen;Helge Bo;Enhedslisten;23.07.1959;01.12.2020;;;;;;;
;Velásquez;Victoria Ninosca Risbjerg ;Enhedslisten;18.07.1991;16.08.2021;;;;;;;
;Olsen;Jonathan Simmel;Enhedslisten;04.11.1987;01.12.2020;;;;;;;
;Olsen ;Lasse Puertas Navarro ;Enhedslisten;11.08.1980;28.08.2018;;;;;;;
;Paludan;Jonas;Enhedslisten;03.12.1980;08.06.2018;;;;;;;
;Riis ;Morten;Enhedslisten;17.11.1976;07.08.2020;;;;;;;
;Simmel ;Trine ;Enhedslisten;07.05.1994;28.08.2018;;;;;;;
;Sørensen;Finn;Enhedslisten;28.12.1946;07.08.2020;;;;;;;
;Torfing;Lisbeth Heidemann;Enhedslisten;12.07.1987;01.12.2020;;;;;;;
;Vinther;Mathilde Lynggaard;Enhedslisten;18.02.1994;01.12.2020;;;;;;;
;Andersen;Carl;Liberal Alliance;27.01.1995;11.03.2019;;;;;;;
;Andersen;Lars Berg;Liberal Alliance;07.06.1970;11.03.2019;;;;;;;
;Cederquist;Lasse;Liberal Alliance;25.09.1966;14.06.2021;;;;;;;
;Dahl;Henrik;Liberal Alliance;20.02.1960;11.02.2020;;;;;;;
;Dalen;Hans Petter;Liberal Alliance;08.07.1970;14.06.2021;;;;;;;
;Fendinge Olsen;Simon;Liberal Alliance;11.04.1998;14.06.2021;;;;;;;
;Frederiksen;Carsten;Liberal Alliance;25.06.1977;29.12.2017;;;;;;;
;Hansen;Lasse Dahl ;Liberal Alliance;15.07.1986;02.04.2019;;;;;;;
;Heinmann;Johnny;Liberal Alliance;04.04.1965;14.06.2021;;;;;;;
;Holleufer;Ole;Liberal Alliance;24.03.1965;14.06.2021;;;;;;;
;Keller;Mick;Liberal Alliance;23.10.1991;14.06.2021;;;;;;;
;Larsen;Steffen;Liberal Alliance;05.12.1983;29.12.2017;;;;;;;
;Løvgreen ;Helle von Wildenrath;Liberal Alliance;23.03.1964;11.03.2019;;;;;;;
;Madsen;Aksel Tarras;Liberal Alliance;19.10.1966;29.12.2017;;;;;;;
;Mandal;Lasse;Liberal Alliance;18.09.1980;14.06.2021;;;;;;;
;Møberg;Jeppe;Liberal Alliance;01.03.1995;14.06.2021;;;;;;;
;Nielsen;Søren;Liberal Alliance;21.12.1994;14.06.2021;;;;;;;
;Olesen;Ole Birk;Liberal Alliance;21.12.1972;11.02.2020;;;;;;;
;Rugholm;Morten;Liberal Alliance;11.11.1986;29.12.2017;;;;;;;
;Skatka Hammer;Kenneth;Liberal Alliance;24.07.1986;14.06.2021;;;;;;;
;Steffenauer;Nikolai ;Liberal Alliance;01.10.1979;11.02.2020;;;;;;;
;Vanopslagh;Alex;Liberal Alliance;17.10.1991;29.12.2017;;;;;;;
;Bay-Foged;Nilas;Alternativet;19.07.1978;30.06.2021;;;;;;;
;Borup;Carsten;Alternativet;14.04.1951;30.06.2021;;;;;;;
;Busk;Tine;Alternativet;17.07.1964;04.01.2021;;;;;;;
;Callesen;Jesper;Alternativet;21.01.1960;29.12.2017;;;;;;;
;Rigét;Simon;Alternativet;12.12.1962;29.09.2021;;;;;;;
;Hansen;Trine Aslaug;Alternativet;05.12.1970;04.01.2021;;;;;;;
;Hillers-Bendtsen;Nikoline Erbs;Alternativet;23.04.2001;04.01.2021;;;;;;;
;Johnsen;Kristian;Alternativet;14.02.1967;04.02.2021;;;;;;;
;Lundstedt;Dan;Alternativet;15.10.1965;04.01.2021;;;;;;;
;Mortensen;Thomas Quist;Alternativet;05.06.1978;31.03.2021;;;;;;;
;Nicolaisen;Torben Petersen;Alternativet;11.08.1953;30.10.2019;;;;;;;
;Rosenkilde;Franciska;Alternativet;19.03.1976;30.06.2021;;;;;;;
;Schaldemose;Tenna Duch;Alternativet;22.04.1979;04.01.2021;;;;;;;
;Sørensen;Gustav Sieg;Alternativet;26.03.1951;31.03.2021;;;;;;;
;Vestergaard;Thomas ;Alternativet;13.10.1962;03.07.2020;;;;;;;
;Brødsgaard;Johan;Radikale Venstre;22.09.1993;11.12.2018;;;;;;;
;Burgess;Charlotte;Radikale Venstre;19.11.1975;29.12.2017;;;;;;;
;Christiansen;Rune;Radikale Venstre;20.08.1977;29.12.2017;;;;;;;
;Haugaard;Søs;Radikale Venstre;18.05.1963;11.12.2018;;;;;;;
;Jespersen;Morten Munch;Radikale Venstre;31.10.1991;11.11.2019;;;;;;;
;Kjær;Bitten Schjødt;Radikale Venstre;15.09.1968;29.12.2017;;;;;;;
;Madsen;Gitte;Radikale Venstre;09.11.1963;11.12.2018;;;;;;;
;Netteberg;Jacob;Radikale Venstre;09.11.1970;11.11.2019;;;;;;;
;Nielsen;Sofie Carsten;Radikale Venstre;24.05.1975;29.12.2017;;;;;;;
;Poulsen;Jens-Christian Navarro;Radikale Venstre;23.09.1969;29.12.2017;;;;;;;
;Sørensen;Frederik Aagaard;Radikale Venstre;26.12.1985;11.12.2018;;;;;;;
;Thorhauge;Svend;Radikale Venstre;11.10.1971;29.12.2017;;;;;;;
;Agersnap;Sigurd ;Socialistisk Folkeparti;02.03.1993;02.04.2019;;;;;;;
;Bonde ;Nanna ;Socialistisk Folkeparti;18.05.1993;02.04.2019;;;;;;;
;Henriksen ;Rasmus Peter ;Socialistisk Folkeparti;30.07.1984;02.04.2019;;;;;;;
;Hønge ;Karsten ;Socialistisk Folkeparti;25.09.1958;02.04.2019;;;;;;;
;Jørgensen ;Christian Ege;Socialistisk Folkeparti;25.09.1958;02.04.2019;;;;;;;
;Jørgensen ;Lars ;Socialistisk Folkeparti;08.06.1948;02.04.2019;;;;;;;
;Lehrmann;Carl Valentin;Socialistisk Folkeparti;11.03.1992;02.04.2019;;;;;;;
;Munk;Ann;Socialistisk Folkeparti;02.11.1964;02.04.2019;;;;;;;
;Overlund Sørensen;Anna;Socialistisk Folkeparti;09.09.1986;02.04.2019;;;;;;;
;Smith;Annika ;Socialistisk Folkeparti;11.07.1976;02.04.2019;;;;;;;
;Albertsen;Andreas Brøgger;Socialistisk Folkeparti;20.10.1985;29.12.2017;;;;;;;
;Benli;Serdal;Socialistisk Folkeparti;02.02.1979;29.12.2017;;;;;;;
;Bille;Kristine Helene;Socialistisk Folkeparti;05.09.1960;29.12.2017;;;;;;;
;Boelsmand;Benjamin Bilde Bak;Socialistisk Folkeparti;04.09.1987;01.09.2021;;;;;;;
;Dyhr;Pia Olsen;Socialistisk Folkeparti;30.11.1971;29.12.2017;;;;;;;
;Andersen;Kirsten Normann;Socialistisk Folkeparti;28.04.1962;01.09.2021;;;;;;;
;Hansen;Tonni;Socialistisk Folkeparti;25.04.1958;29.12.2017;;;;;;;
;Hansen;Kirsten Kronborg;Socialistisk Folkeparti;05.11.1969;29.12.2017;;;;;;;
;Lauridsen;Laila;Socialistisk Folkeparti;28.11.1989;29.12.2017;;;;;;;
;Mark;Jacob ;Socialistisk Folkeparti;16.10.1991;29.12.2017;;;;;;;
;Schmidt;Troels Stru;Socialistisk Folkeparti;08.07.1982;01.09.2021;;;;;;;
;Müller;Lise;Socialistisk Folkeparti;21.01.1974;29.12.2017;;;;;;;
;Mayerhofer;Jesper;Socialistisk Folkeparti;28.02.1955;01.09.2021;;;;;;;
;Olesen;Lars ;Socialistisk Folkeparti;01.03.1978;29.12.2017;;;;;;;
;Jensen;Kim Christian ;Socialistisk Folkeparti;05.10.1967;01.09.2021;;;;;;;
;Stenild;Flemming;Socialistisk Folkeparti;20.08.1946;29.12.2017;;;;;;;
;Andersen;Melina Kathrine;Socialistisk Folkeparti;25.08.1994;01.09.2021;;;;;;;
;Jørgensen;Marie-Louise;Socialistisk Folkeparti;19.06.1982;01.09.2021;;;;;;;
;Arnløv;Dan ;Det Konservative Folkeparti;26.07.1975;23.04.2019;;;;;;;
;Poulsen;Søren Pape;Det Konservative Folkeparti;31.12.1971;29.12.2017;;;;;;;
;Weiglin;Henrik Sølje;Det Konservative Folkeparti;16.11.1975;29.12.2017;;;;;;;
;Ziegler;Michael;Det Konservative Folkeparti;27.02.1968;29.12.2017;;;;;;;
;Mercado;Mai;Det Konservative Folkeparti;20.08.1980;29.12.2017;;;;;;;
;Espersen;Christian Baunbæk;Det Konservative Folkeparti;16.10.1950;10.08.2020;;;;;;;
;Roulund;Jesper;Det Konservative Folkeparti;20.04.1961;10.08.2020;;;;;;;
;Andersen;Kim Miklas;Nye Borgerlige;31.12.1988;28.07.2020;;;;;;;
;Berg;Allan;Nye Borgerlige;22.03.1970;28.07.2020;;;;;;;
;Bille;Morten;Nye Borgerlige;20.10.1966;28.07.2020;;;;;;;
;Blaaberg;Hans;Nye Borgerlige;06.05.1970;28.07.2020;;;;;;;
;Hammer;Jesper Melander;Nye Borgerlige;09.07.1969;28.07.2020;;;;;;;
;Larsen;Frode;Nye Borgerlige;18.04.1953;28.07.2020;;;;;;;
;Noer;Dorte Bech;Nye Borgerlige;08.04.1979;28.07.2020;;;;;;;
Højesteretsdommer, jf. § 2, stk. 1, nr. 8, litra d;Olsen;Mogens Hehl;Nye Borgerlige;25.12.1968;28.07.2020;;;;;;;
;Sørensen;Mikkel Bjørn;Nye Borgerlige;19.10.1995;28.07.2020;;;;;;;
;;;;;;;;;;;;
;Rørdam;Thomas;Højesteretspræsident;17.10.1952;29.12.2017;;;;;;;
;Apostoli;Lars;Højesteretsdommer;16.02.1961;29.12.2017;;;;;;;
;Bormann;Anne Louise;Højesteretsdommer;25.08.1967;29.12.2017;;;;;;;
;Christensen;Jens Peter;Højesteretsdommer;01.11.1956;29.12.2017;;;;;;;
;Christensen;Jan Schans;Højesteretsdommer;15.08.1957;29.12.2017;;;;;;;
;Foersom;Rikke;Højesteretsdommer;13.11.1974;05.05.2021;;;;;;;
;Hasselgaard;Ole;Højesteretsdommer;03.04.1967;01.01.2021;;;;;;;
;Hjortnæs;Lars;Højesteretsdommer;16.09.1960;29.12.2017;;;;;;;
;Jensen;Poul Dahl;Højesteretsdommer;21.06.1956;29.12.2017;;;;;;;
;Mikkelsen;Jens Kruse;Højesteretsdommer;23.07.1965;29.12.2017;;;;;;;
;Nielsen;Kristian Korfits;Højesteretsdommer;04.04.1968;29.12.2017;;;;;;;
;Pedersen;Marianne Højgaard;Højesteretsdommer;07.11.1952;29.12.2017;;;;;;;
;Rasmussen;Kurt;Højesteretsdommer;07.07.1958;29.12.2017;;;;;;;
;Rekling;Michael;Højesteretsdommer;18.02.1958;29.12.2017;;;;;;;
;Rønne ;Vibeke;Højesteretsdommer;07.03.1953;29.12.2017;;;;;;;
;Schmidt;Hanne;Højesteretsdommer;09.03.1960;29.12.2017;;;;;;;
;Sørensen;Jørgen Steen;Højesteretsdommer;21.04.1965;01.11.2019;;;;;;;
;Talevski;Oliver;Højesteretsdommer;28.03.1964;29.12.2017;;;;;;;
;Waaben;Henrik;Højesteretsdommer;19.09.1952;29.12.2017;;;;;;;
;Kjølbro;Jon Fridrik;Dommer ved Den Eur. Menneskerettighedsdomstol;02.06.1967;29.12.2017;;;;;;;
;Larsen;Lars Bay;Dommer ved EU-Domstolen;08.06.1953;29.12.2017;;;;;;;
Medlemmer af øverste ledelsesorgan for Danmarks Nationalbank og revisionsretter, jf. § 2, stk. 1, nr. 8, litra e;Nielsen;Sten Frimodt;Dommer ved Retten ved EU-Domstolen;29.07.1963;29.12.2017;;;;;;;
;Øe;Henrik Saugmandsgd.;Generaladvokat ved EU-Domstolen;27.04.1964;29.12.2017;;;;;;;
;;;;;;;;;;;;
;Rohde;Lars;Nationalbankdirektør, kgl. udnævnt;21.03.1954;29.12.2017;;;;;;;
;Callesen;Per;Nationalbankdirektør;09.11.1958;29.12.2017;;;;;;;
;Krogstrup;Signe;Nationalbankdirektør;25.01.1972;02.11.2020;;;;;;;
;Abildgaard;Mette ;Statsrevisor;12.10.1988;06.04.2021;;;;;;;
;Aaen;Frank;Statsrevisor;25.07.1951;08.11.2019;;;;;;;
;Bager;Britt;Statsrevisor;16.08.1976;08.08.2019;;;;;;;
;Frandsen;Klaus;Statsrevisor, næstformand;19.10.1963;29.12.2017;;;;;;;
;Petersen;Jesper;Statsrevisor;25.08.1981;01.12.2020;;;;;;;
Ambassadør, chargé d'affaires og højtstående officer i de væbnede styrker, jf. § 2, stk. 1, nr. 8, litra f;Thorup;Henrik;Statsrevisor, formand;28.05.1946;29.12.2017;;;;;;;
Ambassadører;Jakobsen;Bettina;Den Europæiske Revisionsret, dansk medlem;16.05.1963;29.12.2017;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;Andersen;Per Fabricius ;Ambassadør  (stedfortræder);19.05.1965;08.11.2018;;;;;;;
;Andersen;Steen Sonne;Ambassadør;05.05.1970;21.10.2019;;;;;;;
;Annan;Danny;Ambassadør;21.08.1970;29.12.2017;;;;;;;
;Balslev;Uffe;Ambassadør ;27.11.1960;08.11.2018;;;;;;;
;Beckvard;Kristina Miskowiak;Ambassadør;07.04.1972;29.12.2017;;;;;;;
;Brask;Hans;Ambassadør;17.07.1962;29.12.2017;;;;;;;
;Christensen;Tomas Anker  ;Klimaambassadør;15.04.1967;22.09.2020;;;;;;;
;Christensen;Kim Højlund;Ambassadør;23.08.1965;29.12.2017;;;;;;;
;Christensen;Michael Starbæk;Ambassadør;31.05.1967;29.12.2017;;;;;;;
;Damsgaard;Anders Carsten;Ambassadør;20.11.1955;29.12.2017;;;;;;;
;Dinesen;René;Ambassadør ;13.04.1971;08.11.2018;;;;;;;
;Dissing-Spandet;Mette;Ambassadør;21.05.1971;21.10.2019;;;;;;;
;Engtoft Larsen ;Anne Marie;Ambassadør;21.08.1987;20.04.2021;;;;;;;
;Eskjær;Hanne Fugl;Ambassadør;19.10.1971;21.10.2019;;;;;;;
;Feinberg;Nathalia;Ambassadør;24.02.1964;29.12.2017;;;;;;;
;Frijs-Madsen;Jarl;Ambassadør;07.05.1965;29.12.2017;;;;;;;
;Frijs-Madsen;Ole;Ambassadør;27.03.1960;29.12.2017;;;;;;;
;Geelan;Kirsten;Ambassadør;30.07.1956;29.12.2017;;;;;;;
;Godtfredsen;Jens ;Ambassadør ;30.06.1970;08.11.2018;;;;;;;
;Hahn;Henrik Bramsen;Ambassadør;26.01.1964;29.12.2017;;;;;;;
;Nymann-Lindegren;Jakob;Ambassadør ;14.03.1975;09.09.2021;;;;;;;
;Sindbjerg;Kira Smith;Ambassadør ;30.01.1973;09.09.2021;;;;;;;
;Hermann;Martin Bille ;Ambassadør ;21.12.1968;02.04.2019;;;;;;;
;Holm;Klavs Arnoldi ;Ambassadør;21.11.1953;29.12.2017;;;;;;;
;Holmboe;Rolf;Ambassadør;15.12.1960;29.12.2017;;;;;;;
;Kelstrup;Søren;Ambassadør;03.11.1961;09.09.2021;;;;;;;
;Hyldelund;Susanne ;Ambassadør;30.07.1968;22.09.2020;;;;;;;
;Høeg;Erik;Ambassadør;21.09.1967;17.01.2020;;;;;;;
;Krogstrup;Sune;Ambassadør;09.05.1975;09.09.2021;;;;;;;
;Jensen;Søren;Ambassadør ;15.10.1961;08.11.2018;;;;;;;
;Jensen;Einar Hebogård;Ambassadør;23.08.1959;29.12.2017;;;;;;;
;Jeppesen;Michael Lund;Ambassadør;04.04.1965;21.10.2019;;;;;;;
;Jespersen ;Morten;Ambassadør ;13.01.1964;08.11.2018;;;;;;;
;Lange;Dorthe;Ambassadør (stedfortræder);12.08.1980;09.09.2021;;;;;;;
;Juhl;Merete;Ambassadør;10.08.1972;29.12.2017;;;;;;;
;Kamp;Jesper ;Ambassadør ;16.07.1971;08.11.2018;;;;;;;
;Kardel;Pernille Dahler  ;Ambassadør;01.10.1962;22.09.2020;;;;;;;
;Kisling;Jens ;Ambassadør ;02.11.1962;08.11.2018;;;;;;;
;Landi;Sandra Jensen  ;Ambassadør;10.05.1977;22.09.2020;;;;;;;
;Larsen;Lars Bo;Ambassadør;04.10.1975;29.12.2017;;;;;;;
;Lauritzen;Vibeke Rovsing ;Ambassadør;09.03.1964;21.10.2019;;;;;;;
;Karlsen;Ketil;Ambassadør;06.12.1972;09.09.2021;;;;;;;
;Laursen ;Erik;Ambassadør;13.05.1959;22.09.2020;;;;;;;
;Liisberg;Jonas Bering;Ambassadør, Danmarks faste repræsentant til EU;22.07.1970;17.01.2020;;;;;;;
;Lorenzen;Erik Vilstrup;Ambassadør;02.07.1962;29.12.2017;;;;;;;
;Mellbin ;Franz-Michael Skjold;Ambassadør ;11.11.1958;08.11.2018;;;;;;;
;Mikkelsen;Ole Egberg;Ambassadør;11.06.1956;29.12.2017;;;;;;;
;Moesby;Ole;Ambassadør;26.08.1953;29.12.2017;;;;;;;
;Møller;Thomas Østrup  ;Ambassadør;17.10.1966;22.09.2020;;;;;;;
;Nielsen;Lars Steen;Ambassadør;23.01.1966;29.12.2017;;;;;;;
;Graugaard;Anders Lønstrup;chargé d'affaires;14.02.1978;09.09.2021;;;;;;;
;Jespersen;Louise Bang;Ambassadør;25.02.1967;09.09.2021;;;;;;;
;Nørring;Tom;Ambassadør;09.06.1959;29.12.2017;;;;;;;
;Olling;Svend;Ambassadør;09.11.1967;29.12.2017;;;;;;;
;Petersen;Winnie Estrup;Ambassadør;17.07.1958;29.12.2017;;;;;;;
;Petersen ;Nicolaj Abraham Hejberg ;Ambassadør ;17.09.1970;08.11.2018;;;;;;;
;Piras;Stig Paolo ;Ambassadør;29.09.1971;20.04.2021;;;;;;;
;Plesner;Liselotte Kjærsgaard;Ambassadør;06.07.1960;29.12.2017;;;;;;;
;Kammersgaard;Jesper;Ambassadør ;07.05.1968;09.09.2021;;;;;;;
;Pruzan-Jørgensen;Julie Elisabeth;Rejsende ambassadør;09.10.1969;22.09.2020;;;;;;;
;Prytz ;Nicolai ;Ambassadør ;16.05.1966;08.11.2018;;;;;;;
;Rehfeld;Tobias Elling;Ambassadør ;22.09.1973;08.11.2018;;;;;;;
;Riggelsen;Anne Dorte ;Ambassadør ;22.04.1958;08.11.2018;;;;;;;
;Rosenholm ;Lis;Ambassadør;04.04.1970;22.09.2020;;;;;;;
;Saenz;Vanessa Vega;Ambassadør;19.08.1969;21.10.2019;;;;;;;
;Shine ;Susanne;Ambassadør;17.06.1963;22.09.2020;;;;;;;
;Sillasen;Grete;Ambassadør;03.05.1961;21.10.2019;;;;;;;
;Sinding ;Odd;Ambassadør;17.05.1971;22.09.2020;;;;;;;
;Staur;Carsten;Ambassadør;09.11.1954;29.12.2017;;;;;;;
;Stender;Flemming;Ambassadør;25.03.1969;21.10.2019;;;;;;;
;Strandgaard ;Martin;Ambassadør (stedfortræder);15.05.1973;22.09.2020;;;;;;;
;Svane;Freddy;Ambassadør;31.07.1957;29.12.2017;;;;;;;
;Søndergaard;Carsten;Ambassadør;08.08.1952;29.12.2017;;;;;;;
;Taksøe-Jensen;Peter;Ambassadør;17.03.1959;29.12.2017;;;;;;;
;Thonke ;Ole;Ambassadør;15.10.1970;22.09.2020;;;;;;;
;Thorgaard ;Jon;Ambassadør;30.04.1967;12.05.2020;;;;;;;
;Nielsen;Jes Brogaard;Ambassadør;14.12.1968;09.09.2021;;;;;;;
;Thuesen;Lars;Ambassadør;12.02.1960;29.12.2017;;;;;;;
;Toft;Ole;Ambassadør;28.12.1964;22.09.2020;;;;;;;
;Friborg;Anders Tang  ;Migrationsambassadør;26.12.1972;22.09.2020;;;;;;;
;Vahr;Jesper;Ambassadør;27.11.1962;29.12.2017;;;;;;;
;Vøhtz;Søren ;Ambassadør ;14.04.1964;08.11.2018;;;;;;;
Højtstående officer i de væbnede styrker;Wegter ;Marie-Louise Koch ;Ambassadør (stedfortræder);08.08.1969;12.05.2020;;;;;;;
;Wisborg;Lone Dencker;Ambassadør;31.01.1966;02.04.2019;;;;;;;
;;;;;;;;;;;;
;Hesselberg;Per;Flotilleadmiral, chef for Forsvarets Vedligeholdelsestjeneste;20.06.1962;26.05.2020;;;;;;;
;Hyldgaard;Michael Wiggers;Generalmajor, chef for Operationsstaben;18.07.1964;26.05.2020;;;;;;;
;La Cour-Andersen;Martin;Generalmajor, chef for Artisk Kommando;11.01.1963;04.08.2021;;;;;;;
;Dam;Jan;Generalmajor, chef for Flyverkommandoen;19.12.1964;04.08.2021;;;;;;;
;Boysen;Peter;Generalmajor, chef for Specialoperationskommandoen;03.04.1963;05.04.2018;;;;;;;
;Lundstein;Henrik Raatræ;Generalmajor, direktør for Nyt Kampfly Program;22.09.1957;29.12.2017;;;;;;;
;Nielsen;Gunner Arpe;Generalmajor, chef for Hærkommandoen;20.02.1967;04.08.2021;;;;;;;
;Rex;Anders;Generalmajor, chef for Udviklings- og Planlægningsstaben;15.04.1970;10.05.2021;;;;;;;
;Mikkelsen;Torben;Kontreadmiral, chef for Søværnskommandoen;11.03.1963;29.12.2017;;;;;;;
;Mathiasen;Flemming;Generalmajor, Chef for Multi National Division North;09.05.1965;29.12.2017;;;;;;;
;Ryberg;Henrik;Kontreadmiral, chef for Forsvarsakademiet;23.11.1962;01.05.2018;;;;;;;
;Olesen;Anders Berg;Brigadegeneral, chef for ledelsessekretariatet i Forsvarskommandoen;18.08.1972;26.05.2020;;;;;;;
;Nielsen;Max Arthur Lund Thorsø;Generalmajor, Den danske militære repræsentant ved NATO og EU (DAMIREP);06.11.1963;15.06.2020;;;;;;;
;Hellebjerg;Ulrich Johan;Generalmajor, Deputy Commander ved Hovedkvarteret Multi National Corps North East, Stettin;22.10.1964;15.06.2020;;;;;;;
Medlem af statsejet virksomheds administrative, ledende eller kontrollerende organ, jf. § 2, stk. 1, nr. 8, litra g;Trojahn;Frank;Kontreadmiral, Forsvarsattaché i Washington;20.08.1963;10.05.2021;;;;;;;
Statsejet virksomheder;Lollesgaard;Michael Anker;Generalløjtnant, udgående chef for NATO Mission IRAK (NMI);13.11.1960;04.08.2021;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;Bladt;Karen;Bornholmstrafikken Holding A/S, bestyrelse;17.02.1967;29.12.2017;;;;;;;
;Christensen;Steen E. ;Bornholmstrafikken Holding A/S, bestyrelse;02.04.1947;29.12.2017;;;;;;;
;Pedersen;Orla Grøn;Bornholmstrafikken Holding A/S, bestyrelse;04.12.1944;29.12.2017;;;;;;;
;Steen-Mikkelsen;John;Bornholmstrafikken Holding A/S, direktion;05.09.1955;29.12.2017;;;;;;;
;Antorini;Christine ;DR, bestyrelse;23.05.1965;07.03.2019;;;;;;;
;Barfod;Line;DR, bestyrelse;24.05.1964;29.12.2017;;;;;;;
;Bedsted ;Marianne ;DR, bestyrelse;18.02.1967;07.03.2019;;;;;;;
;Bjerager ;Erik ;DR, bestyrelse;10.11.1958;07.03.2019;;;;;;;
;Elvang ;Zakia ;DR, bestyrelse;17.09.1971;07.03.2019;;;;;;;
;Holm;Katrine Winkel;DR, bestyrelse;21.03.1970;29.12.2017;;;;;;;
;Larsen;Hanne Ried;DR, bestyrelse;10.02.1962;29.12.2017;;;;;;;
;Mariager ;Arne ;DR, bestyrelse;19.06.1951;07.03.2019;;;;;;;
;Morey;Ricki ;DR, bestyrelse;28.02.1970;07.03.2019;;;;;;;
;Nørmark;Dennis;DR, bestyrelse;02.04.1978;29.12.2017;;;;;;;
;Sander;Helge;DR, bestyrelse;27.08.1950;17.01.2020;;;;;;;
;Rønn;Maria Rørbye;DR, generaldirektør;25.01.1964;29.12.2017;;;;;;;
;Elling;Claus Von;Danmarks Grønne Investeringsfond, bestyrelse;09.06.1966;26.05.2021;;;;;;;
;Foltmann;Marie;Danmarks Grønne Investeringsfond, bestyrelse;30.06.1983;26.05.2021;;;;;;;
;Jonassen;Gert Rinaldo;Danmarks Grønne Investeringsfond, bestyrelse;17.01.1959;26.05.2021;;;;;;;
;Møller;Merete Lundbye;Danmarks Grønne Investeringsfond, bestyrelse;14.07.1968;05.03.2018;;;;;;;
;Therkildsen;Lars ;Danmarks Grønne Investeringsfond, bestyrelse;12.10.1956;05.03.2018;;;;;;;
;Granhøj;Marianne;DanPilot, bestyrelse;27.03.1972;29.12.2017;;;;;;;
;Herskind;Peter;DanPilot, bestyrelse;10.03.1965;29.12.2017;;;;;;;
;Jespersen;Søren;DanPilot, bestyrelse;28.09.1957;29.12.2017;;;;;;;
;Kristensen;Claus L.;DanPilot, bestyrelse;07.05.1965;29.12.2017;;;;;;;
;Philipsen;Ole;DanPilot, bestyrelse;02.12.1960;29.12.2017;;;;;;;
;Raabjerg;Dina Myrup ;DanPilot, bestyrelse ;06.02.1971;25.09.2018;;;;;;;
;Thomsen;Peter Nordahl;DanPilot, bestyrelse;29.03.1967;25.04.2018;;;;;;;
;Voss ;Pia Elisabeth ;DanPilot, bestyrelse;15.04.1964;20.07.2020;;;;;;;
;Nielsen;Erik Merkes;DanPilot, direktion;20.01.1976;17.06.2019;;;;;;;
;Bach;Leif Brandi;Dansk Jagtforsikring A/S, bestyrelse;29.07.1964;29.12.2017;;;;;;;
;Rasmussen;Henrik Frost;Dansk Jagtforsikring A/S, bestyrelse;17.05.1948;29.12.2017;;;;;;;
;Sørensen;Ivan Tage Steen;Dansk Jagtforsikring A/S, bestyrelse;06.05.1949;29.12.2017;;;;;;;
;Wiisbye;Michael Steen;Dansk Jagtforsikring A/S, direktion;28.11.1961;29.12.2017;;;;;;;
